enc,objective,ssl_mode,is_stopgrad,is_ema,architecture_exact,architecture,family,patch_size,n_parameters,z_dim,z_layer,epochs,batch_size,optimizer,learning_rate,weight_decay,scheduler,pretraining_data,img_size,is_aug_invariant,year,is_official,is_industry,n_classes,pred_dim,projection_hid_width,projection_hid_depth,projection1_arch,projection2_arch,projection_same,projection_nparameters,n_negatives,finetuning_data,other,nviews,n_augmentations,is_aug_autoaug,is_aug_blur,is_aug_color,is_aug_crop,is_aug_erasing,is_aug_flip,is_aug_gray,is_aug_jigsaw,is_aug_masking,is_aug_normalize,is_aug_photometric,is_aug_rotate,is_aug_solarize,is_aug_anygeometric,is_aug_anycolor
barlow_rn50,barlow_twins,siamese,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2021,0,1,,4096.0,8192.0,2.0,mlp,mlp,1.0,150000000.0,2048.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
barlow_rn50_ep300,barlow_twins,siamese,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2021,0,1,,4096.0,8192.0,2.0,mlp,mlp,1.0,150000000.0,2048.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
beit_vitb16_pt22k,beit,generative,0,0,beitb16 cls,vitb,vit,16,90000000.0,512,cls,800.0,2048,adam,0.0001,0.01,cosine,ImageNet-22K,128,0,2021,1,1,,,,,,,,,,,,1,5,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1
beit_vitl16_pt22k,beit,generative,0,0,beitl16 cls,vitl,vit,16,300000000.0,1024,cls,800.0,2048,adam,0.0001,0.01,cosine,ImageNet-22K,128,0,2021,1,1,,,,,,,,,,,,1,5,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1
beitv2_vitb16_pt1k,beit,generative,0,0,beitb16 cls,vitb,vit,16,90000000.0,512,cls,1600.0,2048,adam,0.0001,0.01,cosine,ImageNet-1K,128,0,2022,1,1,,,,,,,,,,,,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
beitv2_vitb16_pt1k_ep300,beit,generative,0,0,beitb16 cls,vitb,vit,16,90000000.0,512,cls,400.0,2048,adam,0.0001,0.01,cosine,ImageNet-1K,128,0,2022,1,1,,,,,,,,,,,,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
beitv2_vitb16_pt1k_extractb,beit,generative,0,0,beitb16 cls+avg,vitb,vit,16,90000000.0,1024,cls+avg,1600.0,2048,adam,0.0001,0.01,cosine,ImageNet-1K,128,0,2022,1,1,,,,,,,,,,,,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
beitv2_vitl16_pt1k,beit,generative,0,0,beitl16 cls,vitl,vit,16,300000000.0,1024,cls,1600.0,2048,adam,0.0001,0.01,cosine,ImageNet-1K,128,0,2022,1,1,,,,,,,,,,,,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
byol_rn50_augcrop,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
byol_rn50_augcropblur,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
byol_rn50_augcropcolor,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,4,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
byol_rn50_augnocolor,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,5,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
byol_rn50_augnogray,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,6,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1
byol_rn50_bs1024,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,1024,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
byol_rn50_bs128,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,64,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
byol_rn50_bs2048,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
byol_rn50_bs256,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,256,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
byol_rn50_bs4096,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
byol_rn50_bs512,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,512,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
byol_rn50_bs64,byol,siamese,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,32,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,,256.0,4096.0,1.0,mlp,mlp,0.0,10000000.0,,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
clip_rn101,clip,contrastive,0,0,clipresnet101,resnet101,resnet,4,60000000.0,2048,attnpool,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,1,,512.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_rn50,clip,contrastive,0,0,clipresnet50,resnet50,resnet,4,40000000.0,2048,attnpool,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,1,,1024.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_rn50x16,clip,contrastive,0,0,clipresnet50w16,resnet50w16,resnet,4,170000000.0,2048,attnpool,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,256,1,2021,1,1,,512.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_rn50x4,clip,contrastive,0,0,clipresnet50w4,resnet50w4,resnet,4,90000000.0,512,attnpool,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,256,1,2021,1,1,,1024.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_rn50x64,clip,contrastive,0,0,clipresnet50w64,resnet50w64,resnet,4,430000000.0,2048,attnpool,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,256,1,2021,1,1,,1024.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_vitb16,clip,contrastive,0,0,vitb16 cls,vitb,vit,16,90000000.0,512,cls,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,1,,512.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_vitb32,clip,contrastive,0,0,vitb32 cls,vitb,vit,32,90000000.0,512,cls,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,1,,512.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_vitl14,clip,contrastive,0,0,vitl14 cls,vitl,vit,8,300000000.0,1024,cls,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,1,,512.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clip_vitl14_px336,clip,contrastive,0,0,vitl14 cls,vitl,vit,8,300000000.0,1024,cls,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,256,1,2021,1,1,,512.0,,,linear,linear,0.0,0.0,65536.0,,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
clusterfit_rn50,clusterfit,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-1K,128,1,2019,0,1,16000.0,,,,linear,,,30000000.0,,,,1,4,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
dc2_rn50_ep400_2x160_4x96,deepcluster,clustering,1,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,3000.0,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,4096.0,,,6,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dc2_rn50_ep400_2x224,deepcluster,clustering,1,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,3000.0,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dc2_rn50_ep800_2x224_6x96,deepcluster,clustering,1,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,3000.0,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,16384.0,,,8,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
deepcluster_rn50_bs512_ep200_mmselfsup,deepcluster,clustering,1,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,512,sgd,0.1,1e-05,multistep,ImageNet-1K,128,1,2018,0,1,10000.0,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,,,,1,6,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1
densecl_rn50_200ep_mmselfsup,densecl,hierarchical,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,0,2020,0,0,,256.0,512.0,1.0,mlp,mlp,1.0,0.0,512.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dino_rn50,dino,clustering,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2021,1,1,60000.0,256.0,2048.0,3.0,mlp,mlp,1.0,20000000.0,16384.0,,,8,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vitb16,dino,clustering,1,1,vitb16 cls+avg,vitb,vit,16,90000000.0,1024,cls+avg,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vitb16_extracts,dino,clustering,1,1,vitb16 4xcls,vitb,vit,16,90000000.0,2048,4xcls,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vitb16_last,dino,clustering,1,1,vitb16 cls,vitb,vit,16,90000000.0,512,cls,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vitb8,dino,clustering,1,1,vitb8 cls+avg,vitb,vit,4,90000000.0,1024,cls+avg,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vitb8_last,dino,clustering,1,1,vitb8 cls,vitb,vit,4,90000000.0,512,cls,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vits16,dino,clustering,1,1,vits16 4xcls,vits,vit,16,20000000.0,1024,4xcls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vits16_extractb,dino,clustering,1,1,vits16 cls+avg,vits,vit,16,20000000.0,512,cls+avg,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vits16_last,dino,clustering,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dino_vits8_last,dino,clustering,1,1,vits8 cls,vits,vit,4,20000000.0,256,cls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,65500.0,256.0,2048.0,3.0,mlp,mlp,1.0,30000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
dissl_resnet50_d4096_e100_m2,dissl,clustering,0,0,resnet50d4096,resnet50,resnet,4,30000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,0,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_d8192_e100_m2,dissl,clustering,0,0,resnet50d8192,resnet50,resnet,4,30000000.0,4096,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,1,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_d8192_e400_m6,dissl,clustering,0,0,resnet50d8192,resnet50,resnet,4,30000000.0,4096,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,1,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,,6,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_d8192_e800_m8,dissl,clustering,0,0,resnet50d8192,resnet50,resnet,4,30000000.0,4096,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,1,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,16384.0,,,8,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e100_m2,dissl,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,1,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e100_m2_auglarge,dissl,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,0,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,augLarge,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e100_m2_augsmall,dissl,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,0,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,augSmall,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e100_m2_headtlinslin,dissl,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,0,0,16400.0,512.0,,,linear,linear,0.0,10000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e100_m2_headtmlpsmlp,dissl,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,0,0,16400.0,512.0,2048.0,2.0,mlp,mlp,0.0,20000000.0,4096.0,,headTMlpSMlp,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e400_m2,dissl,clustering,0,0,resnet50,resnet50,resnet,4,30000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,1,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
dissl_resnet50_dnone_e400_m6,dissl,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2022,1,0,16400.0,512.0,2048.0,2.0,mlp,linear,0.0,20000000.0,4096.0,,,6,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
ibot_vitb16,ibot,clustering,1,1,vitb16 cls,vitb,vit,16,90000000.0,512,cls,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,prediction shape is block,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vitb16_extractb,ibot,clustering,1,1,vitb16 cls+avg,vitb,vit,16,90000000.0,1024,cls+avg,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,prediction shape is block,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vitl16,ibot,clustering,1,1,vitl16 cls,vitl,vit,16,300000000.0,1024,cls,200.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vits16,ibot,clustering,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vits16_extracts,ibot,clustering,1,1,vits16 4xcls,vits,vit,16,90000000.0,1024,4xcls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
infomin_rn50_200ep,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2020,1,0,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,8,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
infomin_rn50_800ep,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2020,1,0,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,8,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
jigsaw_rn50,jigsaw,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-1K,128,1,2016,0,0,2000.0,,9000.0,1.0,mlp,,,20000000.0,,,,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
jigsaw_rn50_in22k,jigsaw,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-22K,128,1,2016,0,0,2000.0,,9000.0,1.0,mlp,,,20000000.0,,,,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
lossyless_vitb32_b001,clip+eb,contrastive,0,0,vitb32 pred,vitb,vit,32,90000000.0,512,pred,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,0,,512.0,,,identity,identity,1.0,0.0,65536.0,mscoco,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
lossyless_vitb32_b005,clip+eb,contrastive,0,0,vitb32 pred,vitb,vit,32,90000000.0,512,pred,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,0,,512.0,,,identity,identity,1.0,0.0,65536.0,mscoco,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
lossyless_vitb32_b01,clip+eb,contrastive,0,0,vitb32 pred,vitb,vit,32,90000000.0,512,pred,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,0,,512.0,,,identity,identity,1.0,0.0,65536.0,mscoco,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
mae_vitb16,mae,generative,0,0,vitb16 cls,vitb,vit,16,90000000.0,512,cls,1600.0,2048,adamw,0.0001,0.01,cosine,ImageNet-1K,128,0,2021,1,1,,,,,,,,,,,,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
mae_vith14,mae,generative,0,0,vith14 cls,vith,vit,8,630000000.0,1024,cls,1600.0,2048,adamw,0.0001,0.01,cosine,ImageNet-1K,128,0,2021,1,1,,,,,,,,,,,,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
mae_vitl16,mae,generative,0,0,vitl16 cls,vitl,vit,16,300000000.0,1024,cls,1600.0,2048,adamw,0.0001,0.01,cosine,ImageNet-1K,128,0,2021,1,1,,,,,,,,,,,,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
mocov1_rn50_ep200,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,multistep,ImageNet-1K,128,1,2019,1,1,,64.0,,,linear,linear,1.0,0.0,65536.0,,,2,5,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1
